;Sentiment;Text Tweet;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;1;<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>;user_mention hashtag boikot hashtag provider_name gunakan produk bangsa sendiri provider_name;['user_mention', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'gunakan', 'produk', 'bangsa', 'sendiri', 'provider_name'];['user_mention', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'gunakan', 'produk', 'bangsa', 'sendiri', 'provider_name'];['user_mention', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'produk', 'bangsa', 'provider_name'];user_mention hashtag boikot hashtag provider_name produk bangsa provider_name;user mention hashtag boikot hashtag provider name produk bangsa provider name
1;1;Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>;saktinya balik lagi alhamdulillah provider_name;['saktinya', 'balik', 'lagi', 'alhamdulillah', 'provider_name'];['saktinya', 'balik', 'lagi', 'syukur', 'provider_name'];['saktinya', 'syukur', 'provider_name'];saktinya syukur provider_name;sakti syukur provider name
2;0;Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>;selamat pagi provider_name bisa bantu kenapa di dalam kamar sinyal 4 hilang yang number lagi panggilan darurat saja allcaps url allcaps;['selamat', 'pagi', 'provider_name', 'bisa', 'bantu', 'kenapa', 'di', 'dalam', 'kamar', 'sinyal', '4', 'hilang', 'yang', 'number', 'lagi', 'panggilan', 'darurat', 'saja', 'allcaps', 'url', 'allcaps'];['selamat', 'pagi', 'provider_name', 'bisa', 'bantu', 'kenapa', 'di', 'dalam', 'kamar', 'sinyal', '4', 'hilang', 'yang', 'number', 'lagi', 'panggilan', 'darurat', 'saja', 'allcaps', 'url', 'allcaps'];['selamat', 'pagi', 'provider_name', 'bantu', 'kamar', 'sinyal', '4', 'hilang', 'number', 'panggilan', 'darurat', 'allcaps', 'url', 'allcaps'];selamat pagi provider_name bantu kamar sinyal 4 hilang number panggilan darurat allcaps url allcaps;selamat pagi provider name bantu kamar sinyal 4 hilang number panggil darurat allcaps url allcaps
3;0;Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!;dear provider_name akhir2 ini jaringan data lemot banget padahal repeated;['dear', 'provider_name', 'akhir2', 'ini', 'jaringan', 'data', 'lemot', 'banget', 'padahal', 'repeated'];['dear', 'provider_name', 'akhir2', 'ini', 'jaringan', 'data', 'lemot', 'banget', 'padahal', 'repeated'];['dear', 'provider_name', 'akhir2', 'jaringan', 'data', 'lemot', 'banget', 'repeated'];dear provider_name akhir2 jaringan data lemot banget repeated;dear provider name akhir2 jaring data lot banget repeated
4;0;Selamat malam PENDUSTA <PROVIDER_NAME> ;selamat malam allcaps pendusta allcaps provider_name;['selamat', 'malam', 'allcaps', 'pendusta', 'allcaps', 'provider_name'];['selamat', 'malam', 'allcaps', 'pendusta', 'allcaps', 'provider_name'];['selamat', 'malam', 'allcaps', 'pendusta', 'allcaps', 'provider_name'];selamat malam allcaps pendusta allcaps provider_name;selamat malam allcaps dusta allcaps provider name
5;0;Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>;untuk penembakan paket dari product_name masih gangguan ya provider_name;['untuk', 'penembakan', 'paket', 'dari', 'product_name', 'masih', 'gangguan', 'ya', 'provider_name'];['untuk', 'penembakan', 'paket', 'dari', 'product_name', 'masih', 'gangguan', 'iya', 'provider_name'];['penembakan', 'paket', 'product_name', 'gangguan', 'iya', 'provider_name'];penembakan paket product_name gangguan iya provider_name;tembak paket product name ganggu iya provider name
6;1;<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>;provider_name aku pakai provider_name paket product_name nya udah off tapi gantinya ada paket product_name yg bisa gratisan youtube senang banget provider_name;['provider_name', 'aku', 'pakai', 'provider_name', 'paket', 'product_name', 'nya', 'udah', 'off', 'tapi', 'gantinya', 'ada', 'paket', 'product_name', 'yg', 'bisa', 'gratisan', 'youtube', 'senang', 'banget', 'provider_name'];['provider_name', 'aku', 'pakai', 'provider_name', 'paket', 'product_name', 'nya', 'sudah', 'off', 'tapi', 'gantinya', 'ada', 'paket', 'product_name', 'yang', 'bisa', 'gratisan', 'youtube', 'senang', 'banget', 'provider_name'];['provider_name', 'pakai', 'provider_name', 'paket', 'product_name', 'nya', 'off', 'gantinya', 'paket', 'product_name', 'gratisan', 'youtube', 'senang', 'banget', 'provider_name'];provider_name pakai provider_name paket product_name nya off gantinya paket product_name gratisan youtube senang banget provider_name;provider name pakai provider name paket product name nya off ganti paket product name gratis youtube senang banget provider name
7;0;RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>;rt user_mention provider_name tak ada lagi dalam kamus perhapean saya hashtag boikot hashtag provider_name allcaps url allcaps;['rt', 'user_mention', 'provider_name', 'tak', 'ada', 'lagi', 'dalam', 'kamus', 'perhapean', 'saya', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'allcaps', 'url', 'allcaps'];['rt', 'user_mention', 'provider_name', 'tak', 'ada', 'lagi', 'dalam', 'kamus', 'perhapean', 'saya', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'allcaps', 'url', 'allcaps'];['rt', 'user_mention', 'provider_name', 'kamus', 'perhapean', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'allcaps', 'url', 'allcaps'];rt user_mention provider_name kamus perhapean hashtag boikot hashtag provider_name allcaps url allcaps;rt user mention provider name kamus perhapean hashtag boikot hashtag provider name allcaps url allcaps
8;0;keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari;keluhan gak ditanggapi bikin emosi aja pulsaku dicuri terus soak deh masa setiap hari pulsa berkurang number number bisa number number hari;['keluhan', 'gak', 'ditanggapi', 'bikin', 'emosi', 'aja', 'pulsaku', 'dicuri', 'terus', 'soak', 'deh', 'masa', 'setiap', 'hari', 'pulsa', 'berkurang', 'number', 'number', 'bisa', 'number', 'number', 'hari'];['keluhan', 'tidak', 'ditanggapi', 'membuat', 'emosi', 'saja', 'pulsaku', 'dicuri', 'terus', 'soak', 'deh', 'masa', 'setiap', 'hari', 'pulsa', 'berkurang', 'number', 'number', 'bisa', 'number', 'number', 'hari'];['keluhan', 'ditanggapi', 'emosi', 'pulsaku', 'dicuri', 'soak', 'deh', 'pulsa', 'berkurang', 'number', 'number', 'number', 'number'];keluhan ditanggapi emosi pulsaku dicuri soak deh pulsa berkurang number number number number;keluh tanggap emosi pulsa curi soak deh pulsa kurang number number number number
9;0;#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>;hashtag bilboard hashtag iklan provider_name kok ada pesan tersembunyi hashtag boikot hashtag provider_name hashtag ramadhan hashtag allcaps url allcaps;['hashtag', 'bilboard', 'hashtag', 'iklan', 'provider_name', 'kok', 'ada', 'pesan', 'tersembunyi', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'hashtag', 'ramadhan', 'hashtag', 'allcaps', 'url', 'allcaps'];['hashtag', 'bilboard', 'hashtag', 'iklan', 'provider_name', 'kok', 'ada', 'pesan', 'tersembunyi', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'hashtag', 'ramadhan', 'hashtag', 'allcaps', 'url', 'allcaps'];['hashtag', 'bilboard', 'hashtag', 'iklan', 'provider_name', 'pesan', 'tersembunyi', 'hashtag', 'boikot', 'hashtag', 'provider_name', 'hashtag', 'ramadhan', 'hashtag', 'allcaps', 'url', 'allcaps'];hashtag bilboard hashtag iklan provider_name pesan tersembunyi hashtag boikot hashtag provider_name hashtag ramadhan hashtag allcaps url allcaps;hashtag bilboard hashtag iklan provider name pesan sembunyi hashtag boikot hashtag provider name hashtag ramadhan hashtag allcaps url allcaps
