;Sentiment;Text Tweet;step01;tokens;final_tokens;step02
0;negative;Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah;jelek filmnya apalagi si ernest gak mutu bgt actingnya film sampah;['jelek', 'filmnya', 'apalagi', 'si', 'ernest', 'gak', 'mutu', 'bgt', 'actingnya', 'film', 'sampah'];['jelek', 'filmnya', 'apalagi', 'si', 'ernest', 'gak', 'mutu', 'bgt', 'actingnya', 'film', 'sampah'];jelek filmnya apalagi si ernest gak mutu bgt actingnya film sampah
1;negative;Film king Arthur ini film paling jelek dari seluruh cerita King Arthur ;film king arthur ini film paling jelek dari seluruh cerita king arthur;['film', 'king', 'arthur', 'ini', 'film', 'paling', 'jelek', 'dari', 'seluruh', 'cerita', 'king', 'arthur'];['film', 'king', 'arthur', 'ini', 'film', 'paling', 'jelek', 'dari', 'seluruh', 'cerita', 'king', 'arthur'];film king arthur ini film paling jelek dari seluruh cerita king arthur
2;negative;@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya;bee sepanjang film gwa berkata kasar terus pada bapaknya;['bee', 'sepanjang', 'film', 'gwa', 'berkata', 'kasar', 'terus', 'pada', 'bapaknya'];['bee', 'sepanjang', 'film', 'gwa', 'berkata', 'kasar', 'terus', 'pada', 'bapaknya'];bee sepanjang film gwa berkata kasar terus pada bapaknya
3;negative;Ane ga suka fast and furious..menurutku kok jelek ya tu film;ane ga suka fast and furious menurutku kok jelek ya tu film;['ane', 'ga', 'suka', 'fast', 'and', 'furious', 'menurutku', 'kok', 'jelek', 'ya', 'tu', 'film'];['ane', 'ga', 'suka', 'fast', 'and', 'furious', 'menurutku', 'kok', 'jelek', 'ya', 'tu', 'film'];ane ga suka fast and furious menurutku kok jelek ya tu film
4;negative;"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v";baekhyun kan gua ga tau film nya lu bilang perang perangan perangan disebut ama rp yaoi jadi ambigu;['baekhyun', 'kan', 'gua', 'ga', 'tau', 'film', 'nya', 'lu', 'bilang', 'perang', 'perangan', 'perangan', 'disebut', 'ama', 'rp', 'yaoi', 'jadi', 'ambigu'];['baekhyun', 'kan', 'gua', 'ga', 'tau', 'film', 'nya', 'lu', 'bilang', 'perang', 'perangan', 'perangan', 'disebut', 'ama', 'rp', 'yaoi', 'jadi', 'ambigu'];baekhyun kan gua ga tau film nya lu bilang perang perangan perangan disebut ama rp yaoi jadi ambigu
5;negative;tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!;tolong editingnya yg bagus ya saya sering kecewa dgn film indonesia ditunggu filmnya;['tolong', 'editingnya', 'yg', 'bagus', 'ya', 'saya', 'sering', 'kecewa', 'dgn', 'film', 'indonesia', 'ditunggu', 'filmnya'];['tolong', 'editingnya', 'yg', 'bagus', 'ya', 'saya', 'sering', 'kecewa', 'dgn', 'film', 'indonesia', 'ditunggu', 'filmnya'];tolong editingnya yg bagus ya saya sering kecewa dgn film indonesia ditunggu filmnya
6;negative;Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.;kecewa dgn salah satu aktornya yg ternyata pendukung penista agama ah saya harus bersabar utk tak menonton film ini;['kecewa', 'dgn', 'salah', 'satu', 'aktornya', 'yg', 'ternyata', 'pendukung', 'penista', 'agama', 'ah', 'saya', 'harus', 'bersabar', 'utk', 'tak', 'menonton', 'film', 'ini'];['kecewa', 'dgn', 'salah', 'satu', 'aktornya', 'yg', 'ternyata', 'pendukung', 'penista', 'agama', 'ah', 'saya', 'harus', 'bersabar', 'utk', 'tak', 'menonton', 'film', 'ini'];kecewa dgn salah satu aktornya yg ternyata pendukung penista agama ah saya harus bersabar utk tak menonton film ini
7;negative;Kecewa parah sama film the guys. Dear @radityadika sorry to say this.;kecewa parah sama film the guys dear radityadika sorry to say this;['kecewa', 'parah', 'sama', 'film', 'the', 'guys', 'dear', 'radityadika', 'sorry', 'to', 'say', 'this'];['kecewa', 'parah', 'sama', 'film', 'the', 'guys', 'dear', 'radityadika', 'sorry', 'to', 'say', 'this'];kecewa parah sama film the guys dear radityadika sorry to say this
8;negative;Banyak yg kecewa abis nonton film ini :(;banyak yg kecewa abis nonton film ini;['banyak', 'yg', 'kecewa', 'abis', 'nonton', 'film', 'ini'];['banyak', 'yg', 'kecewa', 'abis', 'nonton', 'film', 'ini'];banyak yg kecewa abis nonton film ini
9;negative;#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.;  adalah film yang paling memgecewakan saya selama hidup yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno;['adalah', 'film', 'yang', 'paling', 'memgecewakan', 'saya', 'selama', 'hidup', 'yah', 'padahal', 'sy', 'udh', 'berekspektasi', 'tinggi', 'dan', 'suka', 'bgt', 'mesir', 'kuno'];['adalah', 'film', 'yang', 'paling', 'memgecewakan', 'saya', 'selama', 'hidup', 'yah', 'padahal', 'sy', 'udh', 'berekspektasi', 'tinggi', 'dan', 'suka', 'bgt', 'mesir', 'kuno'];adalah film yang paling memgecewakan saya selama hidup yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno
