;Unnamed: 0;Sentiment;Text Tweet;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
0;0;negative;Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah;jelek filmnya apalagi si ernest gak mutu bgt actingnya film sampah;['jelek', 'filmnya', 'apalagi', 'si', 'ernest', 'gak', 'mutu', 'bgt', 'actingnya', 'film', 'sampah'];['jelek', 'filmnya', 'apalagi', 'si', 'ernest', 'gak', 'mutu', 'bgt', 'actingnya', 'film', 'sampah'];jelek filmnya apalagi si ernest gak mutu bgt actingnya film sampah;jelek filmnya apalagi si ernest gak mutu bgt actingnya film sampah;jelek film si ernest gak mutu bgt actingnya film sampah
1;1;negative;Film king Arthur ini film paling jelek dari seluruh cerita King Arthur ;film king arthur ini film paling jelek dari seluruh cerita king arthur;['film', 'king', 'arthur', 'ini', 'film', 'paling', 'jelek', 'dari', 'seluruh', 'cerita', 'king', 'arthur'];['film', 'king', 'arthur', 'ini', 'film', 'paling', 'jelek', 'dari', 'seluruh', 'cerita', 'king', 'arthur'];film king arthur ini film paling jelek dari seluruh cerita king arthur;film king arthur ini film paling jelek dari seluruh cerita king arthur;film king arthur film paling jelek seluruh cerita king arthur
2;2;negative;@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya;bee sepanjang film gwa berkata kasar terus pada bapaknya;['bee', 'sepanjang', 'film', 'gwa', 'berkata', 'kasar', 'terus', 'pada', 'bapaknya'];['bee', 'sepanjang', 'film', 'gwa', 'berkata', 'kasar', 'terus', 'pada', 'bapaknya'];bee sepanjang film gwa berkata kasar terus pada bapaknya;bee sepanjang film gwa berkata kasar terus pada bapaknya;bee panjang film gwa kata kasar terus bapak
3;3;negative;Ane ga suka fast and furious..menurutku kok jelek ya tu film;ane ga suka fast and furious menurutku kok jelek ya tu film;['ane', 'ga', 'suka', 'fast', 'and', 'furious', 'menurutku', 'kok', 'jelek', 'ya', 'tu', 'film'];['ane', 'ga', 'suka', 'fast', 'and', 'furious', 'menurutku', 'kok', 'jelek', 'ya', 'tu', 'film'];ane ga suka fast and furious menurutku kok jelek ya tu film;ane ga suka fast and furious menurutku kok jelek ya tu film;ane ga suka fast and furious turut kok jelek tu film
4;4;negative;"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v";baekhyun kan gua ga tau film nya lu bilang perang perangan perangan disebut ama rp yaoi jadi ambigu;['baekhyun', 'kan', 'gua', 'ga', 'tau', 'film', 'nya', 'lu', 'bilang', 'perang', 'perangan', 'perangan', 'disebut', 'ama', 'rp', 'yaoi', 'jadi', 'ambigu'];['baekhyun', 'kan', 'gua', 'ga', 'tau', 'film', 'nya', 'lu', 'bilang', 'perang', 'perangan', 'perangan', 'disebut', 'ama', 'rp', 'yaoi', 'jadi', 'ambigu'];baekhyun kan gua ga tau film nya lu bilang perang perangan perangan disebut ama rp yaoi jadi ambigu;baekhyun kan gua ga tau film nya lu bilang perang perangan perangan disebut ama rp yaoi jadi ambigu;baekhyun kan gua ga tau film lu bilang perang perang perang sebut ama rp yaoi jadi ambigu
5;5;negative;tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!;tolong editingnya yg bagus ya saya sering kecewa dgn film indonesia ditunggu filmnya;['tolong', 'editingnya', 'yg', 'bagus', 'ya', 'saya', 'sering', 'kecewa', 'dgn', 'film', 'indonesia', 'ditunggu', 'filmnya'];['tolong', 'editingnya', 'yg', 'bagus', 'ya', 'saya', 'sering', 'kecewa', 'dgn', 'film', 'indonesia', 'ditunggu', 'filmnya'];tolong editingnya yg bagus ya saya sering kecewa dgn film indonesia ditunggu filmnya;tolong editingnya yg bagus ya saya sering kecewa dgn film indonesia ditunggu filmnya;editingnya bagus saya sering kecewa dgn film indonesia tunggu film
6;6;negative;Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.;kecewa dgn salah satu aktornya yg ternyata pendukung penista agama ah saya harus bersabar utk tak menonton film ini;['kecewa', 'dgn', 'salah', 'satu', 'aktornya', 'yg', 'ternyata', 'pendukung', 'penista', 'agama', 'ah', 'saya', 'harus', 'bersabar', 'utk', 'tak', 'menonton', 'film', 'ini'];['kecewa', 'dgn', 'salah', 'satu', 'aktornya', 'yg', 'ternyata', 'pendukung', 'penista', 'agama', 'ah', 'saya', 'harus', 'bersabar', 'utk', 'tak', 'menonton', 'film', 'ini'];kecewa dgn salah satu aktornya yg ternyata pendukung penista agama ah saya harus bersabar utk tak menonton film ini;kecewa dgn salah satu aktornya yg ternyata pendukung penista agama ah saya harus bersabar utk tak menonton film ini;kecewa dgn salah satu aktor nyata dukung nista agama saya sabar utk tak tonton film
7;7;negative;Kecewa parah sama film the guys. Dear @radityadika sorry to say this.;kecewa parah sama film the guys dear radityadika sorry to say this;['kecewa', 'parah', 'sama', 'film', 'the', 'guys', 'dear', 'radityadika', 'sorry', 'to', 'say', 'this'];['kecewa', 'parah', 'sama', 'film', 'the', 'guys', 'dear', 'radityadika', 'sorry', 'to', 'say', 'this'];kecewa parah sama film the guys dear radityadika sorry to say this;kecewa parah sama film the guys dear radityadika sorry to say this;kecewa parah sama film the guys dear radityadika sorry to say this
8;8;negative;Banyak yg kecewa abis nonton film ini :(;banyak yg kecewa abis nonton film ini;['banyak', 'yg', 'kecewa', 'abis', 'nonton', 'film', 'ini'];['banyak', 'yg', 'kecewa', 'abis', 'nonton', 'film', 'ini'];banyak yg kecewa abis nonton film ini;banyak yg kecewa abis nonton film ini;banyak kecewa abis nonton film
9;9;negative;#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.;  adalah film yang paling memgecewakan saya selama hidup yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno;['adalah', 'film', 'yang', 'paling', 'memgecewakan', 'saya', 'selama', 'hidup', 'yah', 'padahal', 'sy', 'udh', 'berekspektasi', 'tinggi', 'dan', 'suka', 'bgt', 'mesir', 'kuno'];['adalah', 'film', 'yang', 'paling', 'memgecewakan', 'saya', 'selama', 'hidup', 'yah', 'padahal', 'sy', 'udh', 'berekspektasi', 'tinggi', 'dan', 'suka', 'bgt', 'mesir', 'kuno'];adalah film yang paling memgecewakan saya selama hidup yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno;adalah film yang paling memgecewakan saya selama hidup yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno;film paling memgecewakan lama hidup yah padahal sy udh berekspektasi tinggi suka bgt mesir kuno
10;10;negative;film jelek, jelas. Ga ada isinya. ;film jelek jelas ga ada isinya;['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya'];['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya'];film jelek jelas ga ada isinya;film jelek jelas ga ada isinya;film jelek jelas ga isi
11;11;negative;awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( ;awal bulan ini nonton dua film indonesia di bioskop kartini dan critical eleven penggambaran kartini dan ale juga anya terlalu lemah;['awal', 'bulan', 'ini', 'nonton', 'dua', 'film', 'indonesia', 'di', 'bioskop', 'kartini', 'dan', 'critical', 'eleven', 'penggambaran', 'kartini', 'dan', 'ale', 'juga', 'anya', 'terlalu', 'lemah'];['awal', 'bulan', 'ini', 'nonton', 'dua', 'film', 'indonesia', 'di', 'bioskop', 'kartini', 'dan', 'critical', 'eleven', 'penggambaran', 'kartini', 'dan', 'ale', 'juga', 'anya', 'terlalu', 'lemah'];awal bulan ini nonton dua film indonesia di bioskop kartini dan critical eleven penggambaran kartini dan ale juga anya terlalu lemah;awal bulan ini nonton dua film indonesia di bioskop kartini dan critical eleven penggambaran kartini dan ale juga anya terlalu lemah;awal bulan nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya terlalu lemah
12;12;negative;Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi;nonton film miris ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh serakah gila kawin ironis;['nonton', 'film', 'miris', 'ternyata', 'di', 'jaman', 'itu', 'dan', 'jaman', 'sekarang', 'bangsa', 'kita', 'tetap', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis'];['nonton', 'film', 'miris', 'ternyata', 'di', 'jaman', 'itu', 'dan', 'jaman', 'sekarang', 'bangsa', 'kita', 'tetap', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis'];nonton film miris ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh serakah gila kawin ironis;nonton film miris ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh serakah gila kawin ironis;nonton film miris nyata jaman dan jaman sekarang bangsa tetap bodoh serakah gila kawin ironis
13;13;negative;Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol;btw danur jelek banget gausah ditonton hans hansdavidian gue kebayang lo bakal soal film ini ntar lol;['btw', 'danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'hansdavidian', 'gue', 'kebayang', 'lo', 'bakal', 'soal', 'film', 'ini', 'ntar', 'lol'];['btw', 'danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'hansdavidian', 'gue', 'kebayang', 'lo', 'bakal', 'soal', 'film', 'ini', 'ntar', 'lol'];btw danur jelek banget gausah ditonton hans hansdavidian gue kebayang lo bakal soal film ini ntar lol;btw danur jelek banget gausah ditonton hans hansdavidian gue kebayang lo bakal soal film ini ntar lol;btw danur jelek banget gausah tonton hans hansdavidian gue bayang lo bakal soal film ntar lol
14;14;negative;Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.;film kartini trlalu singkat sehingga penonton yg mungkin blm baca biografi jelas ttg kartini agak bingung saya sndiri emg blm baca bukuny;['film', 'kartini', 'trlalu', 'singkat', 'sehingga', 'penonton', 'yg', 'mungkin', 'blm', 'baca', 'biografi', 'jelas', 'ttg', 'kartini', 'agak', 'bingung', 'saya', 'sndiri', 'emg', 'blm', 'baca', 'bukuny'];['film', 'kartini', 'trlalu', 'singkat', 'sehingga', 'penonton', 'yg', 'mungkin', 'blm', 'baca', 'biografi', 'jelas', 'ttg', 'kartini', 'agak', 'bingung', 'saya', 'sndiri', 'emg', 'blm', 'baca', 'bukuny'];film kartini trlalu singkat sehingga penonton yg mungkin blm baca biografi jelas ttg kartini agak bingung saya sndiri emg blm baca bukuny;film kartini trlalu singkat sehingga penonton yg mungkin blm baca biografi jelas ttg kartini agak bingung saya sndiri emg blm baca bukuny;film kartini trlalu singkat tonton mungkin blm baca biografi jelas ttg kartini bingung sndiri emg blm baca bukuny
15;15;negative;Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya;habis nonton the guys entah kenapa aku sedikit kecewa nonton film ini dibanding film sebelumnya kok ini anjlok ya;['habis', 'nonton', 'the', 'guys', 'entah', 'kenapa', 'aku', 'sedikit', 'kecewa', 'nonton', 'film', 'ini', 'dibanding', 'film', 'sebelumnya', 'kok', 'ini', 'anjlok', 'ya'];['habis', 'nonton', 'the', 'guys', 'entah', 'kenapa', 'aku', 'sedikit', 'kecewa', 'nonton', 'film', 'ini', 'dibanding', 'film', 'sebelumnya', 'kok', 'ini', 'anjlok', 'ya'];habis nonton the guys entah kenapa aku sedikit kecewa nonton film ini dibanding film sebelumnya kok ini anjlok ya;habis nonton the guys entah kenapa aku sedikit kecewa nonton film ini dibanding film sebelumnya kok ini anjlok ya;habis nonton the guys entah aku sedikit kecewa nonton film banding film belum kok anjlok
16;16;negative;Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.;yang udah nonton film alien kok pada kecewa ya jadi ragu buat nonton;['yang', 'udah', 'nonton', 'film', 'alien', 'kok', 'pada', 'kecewa', 'ya', 'jadi', 'ragu', 'buat', 'nonton'];['yang', 'udah', 'nonton', 'film', 'alien', 'kok', 'pada', 'kecewa', 'ya', 'jadi', 'ragu', 'buat', 'nonton'];yang udah nonton film alien kok pada kecewa ya jadi ragu buat nonton;yang udah nonton film alien kok pada kecewa ya jadi ragu buat nonton;udah nonton film alien kok kecewa jadi ragu buat nonton
17;17;negative;satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p;satu satunya kerugian nonton film action itu aktornya jadi keliatan jelek;['satu', 'satunya', 'kerugian', 'nonton', 'film', 'action', 'itu', 'aktornya', 'jadi', 'keliatan', 'jelek'];['satu', 'satunya', 'kerugian', 'nonton', 'film', 'action', 'itu', 'aktornya', 'jadi', 'keliatan', 'jelek'];satu satunya kerugian nonton film action itu aktornya jadi keliatan jelek;satu satunya kerugian nonton film action itu aktornya jadi keliatan jelek;satu satu rugi nonton film action aktor jadi liat jelek
18;18;negative;Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.;ini film yang bilang bagus kelompoknya doang yang kasih penghargaan juga dia aj waktu nonton ternyata jelek;['ini', 'film', 'yang', 'bilang', 'bagus', 'kelompoknya', 'doang', 'yang', 'kasih', 'penghargaan', 'juga', 'dia', 'aj', 'waktu', 'nonton', 'ternyata', 'jelek'];['ini', 'film', 'yang', 'bilang', 'bagus', 'kelompoknya', 'doang', 'yang', 'kasih', 'penghargaan', 'juga', 'dia', 'aj', 'waktu', 'nonton', 'ternyata', 'jelek'];ini film yang bilang bagus kelompoknya doang yang kasih penghargaan juga dia aj waktu nonton ternyata jelek;ini film yang bilang bagus kelompoknya doang yang kasih penghargaan juga dia aj waktu nonton ternyata jelek;film bilang bagus kelompok doang kasih harga dia aj waktu nonton nyata jelek
